,code,label
1,0,IAP
2,10,AM BAPTIST ASSO
3,11,AM BAPT CH IN USA
4,12,NAT BAPT CONV OF AM
5,13,NAT BAPT CONV USA
6,14,SOUTHERN BAPTIST
7,15,OTHER BAPTISTS
8,18,BAPTIST-DK WHICH
9,20,AFR METH EPISCOPAL
10,21,AFR METH EP ZION
11,22,UNITED METHODIST
12,23,OTHER METHODIST
13,28,METHODIST-DK WHICH
14,30,AM LUTHERAN
15,31,LUTH CH IN AMERICA
16,32,LUTHERAN-MO SYNOD
17,33,WI EVAN LUTH SYNOD
18,34,OTHER LUTHERAN
19,35,EVANGELICAL LUTH
20,38,LUTHERAN-DK WHICH
21,40,PRESBYTERIAN C IN US
22,41,UNITED PRES CH IN US
23,42,OTHER PRESBYTERIAN
24,43,"PRESBYTERIAN, MERGED"
25,48,PRESBYTERIAN-DK WH
26,50,EPISCOPAL
27,60,OTHER
28,70,NO DENOMINATION
29,98,DK
30,99,NA
